No,Title,Author,Year,DOI
1,loss of lmod1 impairs smooth muscle cytocontractility and causes megacystis microcolon intestinal hypoperistalsis syndrome in humans and mice,"[{'AuN': 'danny halim'}, {'AfN': 'university of rochester', 'AuN': 'michael p wilson'}, {'AfN': 'harvard university', 'AuN': 'michael p wilson'}, {'AuN': 'daniel oliver'}, {'AuN': 'erwin brosens'}, {'AfN': 'university of groningen', 'AuN': 'joke b g m verheij'}, {'AfN': 'university of rochester', 'AuN': 'yu han'}, {'AfN': 'harvard university', 'AuN': 'yu han'}, {'AfN': 'university of rochester', 'AuN': 'vivek nanda'}, {'AfN': 'harvard university', 'AuN': 'vivek nanda'}, {'AfN': 'university of rochester', 'AuN': 'qing lyu'}, {'AfN': 'harvard university', 'AuN': 'qing lyu'}, {'AuN': 'michael doukas'}, {'AuN': 'hans stoop'}, {'AfN': 'erasmus university medical center', 'AuN': 'rutger w w brouwer'}, {'AuN': 'wilfred f j van ijcken'}, {'AfN': 'university of rochester', 'AuN': 'orazio j slivano'}, {'AfN': 'harvard university', 'AuN': 'orazio j slivano'}, {'AuN': 'alan j burns'}, {'AfN': 'university of rochester', 'AuN': 'christine k christie'}, {'AfN': 'harvard university', 'AuN': 'christine k christie'}, {'AfN': 'university of rochester', 'AuN': 'karen l de mesy bentley'}, {'AfN': 'rutgers university', 'AuN': 'karen l de mesy bentley'}, {'AfN': 'harvard university', 'AuN': 'karen l de mesy bentley'}, {'AuN': 'alice s brooks'}, {'AuN': 'dick tibboel'}, {'AfN': 'university of rochester', 'AuN': 'suowen xu'}, {'AfN': 'harvard university', 'AuN': 'suowen xu'}, {'AfN': 'university of rochester', 'AuN': 'zheng gen jin'}, {'AfN': 'harvard university', 'AuN': 'zheng gen jin'}, {'AfN': 'gadjah mada university', 'AuN': 'tono djuwantono'}, {'AuN': 'wei yan'}, {'AuN': 'maria m alves'}, {'AfN': 'university college london', 'AuN': 'robert m w hofstra'}, {'AfN': 'erasmus university medical center', 'AuN': 'robert m w hofstra'}, {'AfN': 'university of rochester', 'AuN': 'joseph m miano'}, {'AfN': 'harvard university', 'AuN': 'joseph m miano'}]",2017,10.1073/pnas.1620507114
2,small scale downdraft gasifiers for biomass gasification a review,"[{'AfN': 'gadjah mada university', 'AuN': 'a a p susastriawan'}, {'AfN': 'gadjah mada university', 'AuN': 'harwin saptoadi'}, {'AfN': 'gadjah mada university', 'AuN': 'purnomo'}]",2017,10.1016/j.rser.2017.03.112
3,strengthening capacity to research the social determinants of health in low and middle income countries lessons from the intrec programme,"[{'AfN': 'heidelberg university', 'AuN': 'nicholas henschke'}, {'AfN': 'harvard university', 'AuN': 'anna mirny'}, {'AfN': 'university of amsterdam', 'AuN': 'joke a haafkens'}, {'AfN': 'heidelberg university', 'AuN': 'heribert ramroth'}, {'AfN': 'gadjah mada university', 'AuN': 'siwi padmawati'}, {'AuN': 'martin bangha'}, {'AfN': 'harvard university', 'AuN': 'lisa f berkman'}, {'AfN': 'gadjah mada university', 'AuN': 'laksono trisnantoro'}, {'AfN': 'umea centre for global health research', 'AuN': 'yulia blomstedt'}, {'AfN': 'university of hamburg', 'AuN': 'heiko becher'}, {'AfN': 'heidelberg university', 'AuN': 'heiko becher'}, {'AfN': 'university of the witwatersrand', 'AuN': 'osman sankoh'}, {'AfN': 'umea centre for global health research', 'AuN': 'peter byass'}, {'AfN': 'umea centre for global health research', 'AuN': 'john kinsman'}]",2017,10.1186/s12889-017-4399-0
4,first integrative trend analysis for a great ape species in borneo,"[{'AfN': 'university of queensland', 'AuN': 'truly santika'}, {'AuN': 'marc ancrenaz'}, {'AfN': 'university of queensland', 'AuN': 'kerrie a wilson'}, {'AfN': 'university of wisconsin oshkosh', 'AuN': 'stephanie spehar'}, {'AfN': 'university of queensland', 'AuN': 'nicola k abram'}, {'AfN': 'max planck society', 'AuN': 'graham l banes'}, {'AfN': 'university of aberdeen', 'AuN': 'graham l banes'}, {'AfN': 'cas mpg partner institute for computational biology', 'AuN': 'graham l banes'}, {'AfN': 'iar systems', 'AuN': 'gail campbellsmith'}, {'AfN': 'stanford university', 'AuN': 'lisa m curran'}, {'AfN': 'university of palangka raya', 'AuN': 'laura j d arcy'}, {'AfN': 'university of southern california', 'AuN': 'roberto a delgado'}, {'AuN': 'andi erman'}, {'AfN': 'cardiff university', 'AuN': 'benoit goossens'}, {'AfN': 'sabah wildlife department', 'AuN': 'benoit goossens'}, {'AfN': 'the nature conservancy', 'AuN': 'herlina hartanto'}, {'AfN': 'liverpool john moores university', 'AuN': 'max houghton'}, {'AfN': 'university of palangka raya', 'AuN': 'simon husson'}, {'AfN': 'max planck society', 'AuN': 'hjalmar s kuhl'}, {'AuN': 'isabelle lackman'}, {'AuN': 'ashley leiman'}, {'AfN': 'iar systems', 'AuN': 'karmele llano sanchez'}, {'AfN': 'the nature conservancy', 'AuN': 'niel makinuddin'}, {'AfN': 'university of michigan', 'AuN': 'andrew j marshall'}, {'AfN': 'universitas nasional', 'AuN': 'ari meididit'}, {'AfN': 'world wide fund for nature', 'AuN': 'ari meididit'}, {'AfN': 'queensland university of technology', 'AuN': 'kerrie mengersen'}, {'AfN': 'the nature conservancy', 'AuN': 'musnanda'}, {'AuN': 'nardiyono'}, {'AfN': 'australian national university', 'AuN': 'anton nurcahyo'}, {'AuN': 'kisar odom'}, {'AfN': 'world wide fund for nature', 'AuN': 'adventus panda'}, {'AuN': 'didik prasetyo'}, {'AfN': 'the nature conservancy', 'AuN': 'purnomo'}, {'AuN': 'andjar rafiastanto'}, {'AfN': 'gadjah mada university', 'AuN': 'slamet raharjo'}, {'AuN': 'dessy ratnasari'}, {'AfN': 'york university', 'AuN': 'anne e russon'}, {'AfN': 'universitas nasional', 'AuN': 'adi h santana'}, {'AuN': 'eddy santoso'}, {'AuN': 'iman sapari'}, {'AuN': 'jamartin sihite'}, {'AuN': 'ahmat suyoko'}, {'AfN': 'world wide fund for nature', 'AuN': 'albertus tjiu'}, {'AfN': 'universitas nasional', 'AuN': 'sri suci utamiatmoko'}, {'AfN': 'university of zurich', 'AuN': 'carel p van schaik'}, {'AfN': 'max planck society', 'AuN': 'maria voigt'}, {'AfN': 'university of queensland', 'AuN': 'jessie a wells'}, {'AfN': 'liverpool john moores university', 'AuN': 'serge a wich'}, {'AfN': 'university of amsterdam', 'AuN': 'serge a wich'}, {'AfN': 'university of zurich', 'AuN': 'erik p willems'}, {'AfN': 'university of queensland', 'AuN': 'erik meijaard'}]",2017,10.1038/s41598-017-04435-9
5,characterization of moac and a nontarget gene fragments of food borne pathogen alcaligenes sp jg3 using degenerate colony and arbitrary pcrs,"[{'AuN': 'stalis norma ethica'}, {'AfN': 'gadjah mada university', 'AuN': 'endang semiarti'}, {'AfN': 'gadjah mada university', 'AuN': 'jaka widada'}, {'AuN': 'oedjijono oedjijono'}, {'AfN': 'gadjah mada university', 'AuN': 'tri joko raharjo'}]",2017,10.1111/jfs.12345
6,full height rectangular opening castellated steel beam partially encased in reinforced mortar,"[{'AfN': 'gadjah mada university', 'AuN': 'iman satyarno'}, {'AfN': 'gadjah mada university', 'AuN': 'djoko sulistyo'}, {'AfN': 'gadjah mada university', 'AuN': 'dina heldita'}, {'AfN': 'gadjah mada university', 'AuN': 'a talodaci corte real de oliviera'}]",2017,10.1016/j.proeng.2017.01.324
7,biogas dari sampah kota,"[{'AfN': 'gadjah mada university', 'AuN': 'alberto dirhantarpo'}]",2017,10.22146/agritech.22245
8,co2 flux from javanese mud volcanism,"[{'AfN': 'university of manchester', 'AuN': 'manuel queiser'}, {'AfN': 'university of manchester', 'AuN': 'mike burton'}, {'AfN': 'university of manchester', 'AuN': 'fabio arzilli'}, {'AuN': 'a chiarugi'}, {'AfN': 'gadjah mada university', 'AuN': 'g i marliyani'}, {'AfN': 'gadjah mada university', 'AuN': 'f anggara'}, {'AfN': 'gadjah mada university', 'AuN': 'agung harijoko'}]",2017,10.1002/2017JB013968
9,the global burden of paediatric heart disease,"[{'AfN': 'university of washington', 'AuN': 'ndidiamaka musa'}, {'AfN': 'aarhus university hospital', 'AuN': 'vibeke e hjortdal'}, {'AuN': 'bistra zheleva'}, {'AfN': 'gadjah mada university', 'AuN': 'indah k murni'}, {'AfN': 'university of california san francisco', 'AuN': 'shunji sano'}, {'AfN': 'university of toronto', 'AuN': 'steven m schwartz'}, {'AuN': 'sandra l staveski'}]",2017,10.1017/S1047951117002530
10,mapping the distribution of potential land drought in batam island using the integration of remote sensing and geographic information systems gis,"[{'AuN': 'muhammad zainuddin lubis'}, {'AfN': 'university of indonesia', 'AuN': 'herika muhamad taki'}, {'AfN': 'king abdulaziz university', 'AuN': 'herika muhamad taki'}, {'AuN': 'wenang anurogo'}, {'AuN': 'daniel sutopo pamungkas'}, {'AfN': 'gadjah mada university', 'AuN': 'pramaditya wicaksono'}, {'AuN': 't aprilliyanti'}]",2017,10.1088/1755-1315/98/1/012012
11,genetic micro epidemiology of malaria in papua indonesia extensive p vivax diversity and a distinct subpopulation of asymptomatic p falciparum infections,"[{'AuN': 'zuleima pava'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'rintis noviyanti'}, {'AuN': 'irene handayuni'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'hidayat trimarsanto'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'leily trianty'}, {'AfN': 'gadjah mada university', 'AuN': 'faustina h burdam'}, {'AuN': 'enny kenangalem'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'retno a s utami'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'yusrifar k tirta'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'farah n coutrier'}, {'AuN': 'jeanne rini poespoprodjo'}, {'AfN': 'university of oxford', 'AuN': 'ric n price'}, {'AuN': 'jutta marfurt'}, {'AuN': 'sarah auburn'}]",2017,10.1371/journal.pone.0177445
12,how is indonesia coping with its epidemic of chronic noncommunicable diseases a systematic review with meta analysis,"[{'AfN': 'umea university', 'AuN': 'julia schroders'}, {'AfN': 'umea university', 'AuN': 'stig wall'}, {'AfN': 'gadjah mada university', 'AuN': 'mohammad hakimi'}, {'AfN': 'gadjah mada university', 'AuN': 'fatwa sari tetra dewi'}, {'AfN': 'umea university', 'AuN': 'lars weinehall'}, {'AfN': 'university of arizona', 'AuN': 'mark nichter'}, {'AfN': 'umea university', 'AuN': 'maria nilsson'}, {'AfN': 'gadjah mada university', 'AuN': 'hari kusnanto'}, {'AuN': 'ekowati rahajeng'}, {'AfN': 'umea university', 'AuN': 'nawi ng'}]",2017,10.1371/journal.pone.0179186
13,prevalence of diabetic retinopathy and blindness in indonesian adults with type 2 diabetes,"[{'AfN': 'gadjah mada university', 'AuN': 'muhammad bayu sasongko'}, {'AfN': 'gadjah mada university', 'AuN': 'felicia widyaputri'}, {'AfN': 'gadjah mada university', 'AuN': 'angela nurini agni'}, {'AfN': 'gadjah mada university', 'AuN': 'firman setya wardhana'}, {'AuN': 'satyaprabha kotha'}, {'AuN': 'prateek gupta'}, {'AfN': 'gadjah mada university', 'AuN': 'tri wahyu widayanti'}, {'AfN': 'gadjah mada university', 'AuN': 'supanji haryanto'}, {'AfN': 'gadjah mada university', 'AuN': 'rifa widyaningrum'}, {'AfN': 'national university of singapore', 'AuN': 'tien yin wong'}, {'AfN': 'yamagata university', 'AuN': 'ryo kawasaki'}, {'AfN': 'national university of singapore', 'AuN': 'jie jin wang'}]",2017,10.1016/j.ajo.2017.06.019
14,rationale and methodology for a community based study of diabetic retinopathy in an indonesian population with type 2 diabetes mellitus the jogjakarta eye diabetic study in the community,"[{'AfN': 'gadjah mada university', 'AuN': 'muhammad bayu sasongko'}, {'AfN': 'gadjah mada university', 'AuN': 'angela nurini agni'}, {'AfN': 'gadjah mada university', 'AuN': 'firman setya wardhana'}, {'AfN': 'helen keller international', 'AuN': 'satya p kotha'}, {'AfN': 'helen keller international', 'AuN': 'prateek gupta'}, {'AfN': 'gadjah mada university', 'AuN': 'tri wahyu widayanti'}, {'AfN': 'gadjah mada university', 'AuN': 'supanji'}, {'AfN': 'gadjah mada university', 'AuN': 'felicia widyaputri'}, {'AfN': 'gadjah mada university', 'AuN': 'rifa widyaningrum'}, {'AfN': 'national university of singapore', 'AuN': 'tien yin wong'}, {'AfN': 'yamagata university', 'AuN': 'ryo kawasaki'}, {'AfN': 'university of sydney', 'AuN': 'jie jin wang'}, {'AfN': 'gadjah mada university', 'AuN': 'suhardjo pawiroranu'}]",2017,10.1080/09286586.2016.1255763
15,cigarette smoking and telomere length a systematic review of 84 studies and meta analysis,"[{'AfN': 'imperial college london', 'AuN': 'yuliana astuti'}, {'AfN': 'gadjah mada university', 'AuN': 'yuliana astuti'}, {'AfN': 'gadjah mada university', 'AuN': 'ardyan wardhana'}, {'AuN': 'johnathan watkins'}, {'AfN': 'university college london', 'AuN': 'wahyu wulaningsih'}, {'AfN': 'gadjah mada university', 'AuN': 'wahyu wulaningsih'}]",2017,10.1016/j.envres.2017.06.038
16,plasmodium falciparum and plasmodium vivax demonstrate contrasting chloroquine resistance reversal phenotypes,"[{'AfN': 'charles darwin university', 'AuN': 'grennady wirjanata'}, {'AfN': 'charles darwin university', 'AuN': 'irene handayuni'}, {'AuN': 'pak prayoga'}, {'AuN': 'leo leonardo'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'dwi apriyanti'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'leily trianty'}, {'AuN': 'ruland wandosa'}, {'AuN': 'basbak gobay'}, {'AuN': 'enny kenangalem'}, {'AfN': 'gadjah mada university', 'AuN': 'jeanne rini poespoprodjo'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'rintis noviyanti'}, {'AfN': 'university of south florida', 'AuN': 'dennis e kyle'}, {'AfN': 'qimr berghofer medical research institute', 'AuN': 'qin cheng'}, {'AfN': 'charles darwin university', 'AuN': 'ric n price'}, {'AfN': 'university of oxford', 'AuN': 'ric n price'}, {'AfN': 'charles darwin university', 'AuN': 'jutta marfurt'}]",2017,10.1128/AAC.00355-17
